id,outputPath,pages,placement,priority,phase,status,alt,doorStyleId,finishId
img-0001,/images/catalog/collections/custom.webp,/collections|/collections/custom,hero,critical,2,pending,"Custom Cabinets custom cabinets by Boise Cabinet Co — One Source Custom Cabinets line with premium frameless construction in the Treasure Valley, Idaho",shaker,white-oak
img-0002,/images/catalog/collections/reserve.webp,/collections|/collections/reserve,hero,critical,2,pending,"Reserve custom cabinets by Boise Cabinet Co — One Source Reserve line with premium frameless construction in the Treasure Valley, Idaho",thin-shaker,pebble
img-0003,/images/catalog/rooms/kitchen.webp,/|/cabinets|/cabinets/kitchen,card-hero,critical,2,pending,"Custom kitchen cabinets with One Source shaker doors in Treasure Valley Idaho | Boise Cabinet Co",shaker,snowcap
img-0004,/images/catalog/rooms/bathroom.webp,/|/cabinets|/cabinets/bathroom,card-hero,critical,2,pending,"Custom bathroom cabinets with One Source thin shaker doors in Treasure Valley Idaho | Boise Cabinet Co",thin-shaker,glacier
img-0005,/images/catalog/rooms/laundry.webp,/|/cabinets|/cabinets/laundry,card-hero,critical,2,pending,"Custom laundry cabinets with One Source slab doors in Treasure Valley Idaho | Boise Cabinet Co",slab,fog
img-0006,/images/catalog/rooms/mudroom.webp,/|/cabinets|/cabinets/mudroom,card-hero,critical,2,pending,"Custom mudroom cabinets with One Source thin shaker doors in Treasure Valley Idaho | Boise Cabinet Co",thin-shaker,riverstone
img-0007,/images/catalog/rooms/home-office.webp,/|/cabinets|/cabinets/home-office,card-hero,critical,2,pending,"Custom home office cabinets with One Source shaker doors in Treasure Valley Idaho | Boise Cabinet Co",shaker,white-oak
img-0008,/images/catalog/rooms/entertainment.webp,/|/cabinets|/cabinets/entertainment,card-hero,critical,2,pending,"Custom entertainment cabinets with One Source slab doors in Treasure Valley Idaho | Boise Cabinet Co",slab,basalt
img-0009,/images/catalog/rooms/built-ins.webp,/|/cabinets|/cabinets/built-ins,card-hero,critical,2,pending,"Custom built-ins cabinets with One Source shaker doors in Treasure Valley Idaho | Boise Cabinet Co",shaker,natural-walnut
img-0010,/images/catalog/rooms/pantry.webp,/|/cabinets|/cabinets/pantry,card-hero,critical,2,pending,"Custom pantry cabinets with One Source shaker doors in Treasure Valley Idaho | Boise Cabinet Co",shaker,linen
img-0011,/images/catalog/rooms/closet.webp,/|/cabinets|/cabinets/closet,card-hero,critical,2,pending,"Custom closet cabinets with One Source slab doors in Treasure Valley Idaho | Boise Cabinet Co",slab,white-oak
img-0012,/images/catalog/rooms/garage.webp,/|/cabinets|/cabinets/garage,card-hero,critical,2,pending,"Custom garage cabinets with One Source slab doors in Treasure Valley Idaho | Boise Cabinet Co",slab,slate
img-0013,/images/catalog/rooms/outdoor.webp,/|/cabinets|/cabinets/outdoor,card-hero,critical,2,pending,"Custom outdoor kitchen cabinets with One Source slab doors in Treasure Valley Idaho | Boise Cabinet Co",slab,cedar
img-0014,/images/catalog/rooms/wet-bar.webp,/|/cabinets|/cabinets/wet-bar,card-hero,critical,2,pending,"Custom wet bar cabinets with One Source shaker doors in Treasure Valley Idaho | Boise Cabinet Co",shaker,espresso-walnut
img-0015,/images/catalog/rooms/bedroom.webp,/|/cabinets|/cabinets/bedroom,card-hero,critical,2,pending,"Custom bedroom cabinets with One Source thin shaker doors in Treasure Valley Idaho | Boise Cabinet Co",thin-shaker,blonde-oak
img-0016,/images/catalog/finishes/snowcap.webp,/finishes|/finishes/matte|/finishes/gloss|/finishes/woodgrain,swatch,high,2,pending,"snowcap cabinet finish swatch — One Source Tafisa panel color for Boise Cabinet Co in the Treasure Valley, Idaho",,snowcap
img-0017,/images/catalog/finishes/glacier.webp,/finishes|/finishes/matte|/finishes/gloss|/finishes/woodgrain,swatch,high,2,pending,"glacier cabinet finish swatch — One Source Tafisa panel color for Boise Cabinet Co in the Treasure Valley, Idaho",,glacier
